1921;50;-626;1709407397507;World
1913;50;-622;1709137583472;World
1907;50;-616;1709138135583;World
1909;50;-618;1709138137767;World
1917;50;-626;1709407394361;World
1913;50;-618;1709137638673;World
1911;50;-616;1709137903282;World
1909;50;-614;1709138129959;World
1907;50;-612;1709138131729;World
1907;50;-624;1709134813711;World
1909;50;-626;1709134866299;World
1913;50;-626;1709134970803;World
1907;51;-628;1709134871500;World
1911;51;-628;1709134872648;World
1907;51;-624;1709134876654;World
1919;50;-612;1709138360484;World
1919;50;-616;1709138362392;World
1915;50;-616;1709137901521;World
1913;50;-614;1709137937048;World
1911;50;-612;1709138273582;World
1917;50;-618;1709138365879;World
1925;50;-626;1709407392515;World
1915;50;-612;1709138263085;World
1917;50;-614;1709138359431;World
1919;53;-620;1709138452981;World
1923;53;-624;1709407290714;World
1927;53;-628;1709407375010;World
1915;53;-620;1709135113505;World
1919;53;-624;1709407261510;World
1923;53;-628;1709407310925;World
1919;53;-628;1709407248174;World
1911;53;-624;1709134875297;World
1915;53;-628;1709135040357;World
1907;53;-620;1709138119871;World
1915;53;-624;1709135021856;World
1911;53;-620;1709135107177;World
1907;50;-628;1709134860248;World
1927;53;-624;1709407373515;World
1915;52;-620;1709135110110;World
1919;52;-620;1709138452290;World
1923;52;-624;1709407291510;World
1927;52;-628;1709407375414;World
1919;52;-624;1709407262466;World
1923;52;-628;1709407311724;World
1911;52;-624;1709134875947;World
1915;52;-628;1709135039056;World
1907;52;-620;1709138120086;World
1919;52;-628;1709407249013;World
1915;52;-624;1709135028808;World
1911;52;-620;1709135106437;World
1907;53;-628;1709134870802;World
1911;53;-628;1709134873309;World
1907;53;-624;1709134877356;World
1927;52;-624;1709407373874;World
1915;51;-620;1709135108282;World
1919;51;-620;1709138427077;World
1923;51;-624;1709407292162;World
1927;51;-628;1709407372078;World
1919;51;-624;1709407263613;World
1923;51;-628;1709407309966;World
1911;51;-624;1709134874549;World
1915;51;-628;1709135038709;World
1907;51;-620;1709138120522;World
1919;51;-628;1709407250267;World
1915;51;-624;1709135027906;World
1911;51;-620;1709135105797;World
1907;52;-628;1709134872005;World
1911;52;-628;1709134873851;World
1907;52;-624;1709134877900;World
1927;51;-624;1709407372724;World
