-218;64;-155;1709133322772;World
-221;63;-167;1709127568329;World
-228;63;-160;1709127558273;World
-228;63;-159;1709127557221;World
-220;63;-167;1709127568622;World
-219;63;-167;1709127663572;World
-228;63;-158;1709127557023;World
-218;63;-167;1709127550031;World
-228;63;-157;1709127556829;World
-225;63;-167;1709127565669;World
-228;63;-164;1709127563674;World
-228;63;-163;1709127563177;World
-224;63;-167;1709127565975;World
-223;63;-167;1709127566221;World
-228;63;-162;1709127562872;World
-222;63;-167;1709127567971;World
-228;63;-161;1709127562678;World
-228;63;-167;1709127547169;World
-227;63;-167;1709127565078;World
-226;63;-167;1709127565369;World
-228;63;-165;1709130291476;World
-221;63;-155;1709127671025;World
-218;63;-158;1709127666873;World
-218;63;-157;1709127669021;World
-220;63;-155;1709127670674;World
-219;63;-155;1709127670375;World
-218;63;-156;1709127668682;World
-218;63;-155;1709127552822;World
-225;63;-155;1709127672027;World
-218;63;-162;1709127665823;World
-218;63;-161;1709127666075;World
-224;63;-155;1709127671826;World
-223;63;-155;1709127671525;World
-218;63;-160;1709127666322;World
-218;63;-159;1709127666573;World
-222;63;-155;1709127671278;World
-218;63;-166;1709127664721;World
-228;63;-156;1709127556623;World
-218;63;-165;1709127664973;World
-228;63;-155;1709127555170;World
-227;63;-155;1709127673321;World
-218;63;-164;1709127665224;World
-218;63;-163;1709127665526;World
-226;63;-155;1709127673771;World
